2025-05-24 16:03:10 Jepsen starting  /home/jepsen/etcd-v3.1/etcd --log-output stderr --name hp158.utah.cloudlab.us --data-dir /home/jepsen/etcd-v3.1/data --wal-dir /home/jepsen/etcd-v3.1/wal --listen-peer-urls http://0.0.0.0:2380 --initial-advertise-peer-urls http://hp158.utah.cloudlab.us:2380 --listen-client-urls http://0.0.0.0:2379 --advertise-client-urls http://hp158.utah.cloudlab.us:2379 --initial-cluster-state new --initial-cluster hp124.utah.cloudlab.us=http://hp124.utah.cloudlab.us:2380,hp158.utah.cloudlab.us=http://hp158.utah.cloudlab.us:2380,hp144.utah.cloudlab.us=http://hp144.utah.cloudlab.us:2380,hp159.utah.cloudlab.us=http://hp159.utah.cloudlab.us:2380,hp149.utah.cloudlab.us=http://hp149.utah.cloudlab.us:2380
2025-05-24 16:03:14.215657 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message writer)
2025-05-24 16:03:14.215716 I | etcdserver/membership: added member fe700c0c32dc3b77 [http://hp144.utah.cloudlab.us:2380] to cluster aac2752a141c3276
2025-05-24 16:03:14.216181 I | rafthttp: established a TCP streaming connection with peer c89e8ee7e52968ff (stream MsgApp v2 reader)
2025-05-24 16:03:14.217919 I | raft: raft.node: 399dd9d2fe9451fe elected leader a1561573eb12db98 at term 2
2025-05-24 16:03:14.219815 I | etcdserver: published {Name:hp158.utah.cloudlab.us ClientURLs:[http://hp158.utah.cloudlab.us:2379]} to cluster aac2752a141c3276
2025-05-24 16:03:14.219885 I | embed: ready to serve client requests
2025-05-24 16:03:14.220000 E | etcdmain: forgot to set Type=notify in systemd service file?
2025-05-24 16:03:14.220543 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2025-05-24 16:03:14.230724 I | rafthttp: peer fe700c0c32dc3b77 became active
2025-05-24 16:03:14.230746 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message writer)
2025-05-24 16:03:14.230762 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 writer)
2025-05-24 16:03:14.239133 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream Message reader)
2025-05-24 16:03:14.239945 I | rafthttp: established a TCP streaming connection with peer fe700c0c32dc3b77 (stream MsgApp v2 reader)
2025-05-24 16:03:14.241900 N | etcdserver/membership: set the initial cluster version to 3.1
2025-05-24 16:03:14.241978 I | etcdserver/api: enabled capabilities for version 3.1
2025-05-24 16:03:29.492501 I | raft: 399dd9d2fe9451fe [term: 2] received a MsgVote message with higher term from c89e8ee7e52968ff [term: 3]
2025-05-24 16:03:29.492565 I | raft: 399dd9d2fe9451fe became follower at term 3
2025-05-24 16:03:29.492590 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545, vote: 0] rejected MsgVote from c89e8ee7e52968ff [logterm: 2, index: 4544] at term 3
2025-05-24 16:03:29.492606 I | raft: raft.node: 399dd9d2fe9451fe lost leader a1561573eb12db98 at term 3
2025-05-24 16:03:30.692411 I | raft: 399dd9d2fe9451fe [term: 3] received a MsgVote message with higher term from c89e8ee7e52968ff [term: 4]
2025-05-24 16:03:30.692464 I | raft: 399dd9d2fe9451fe became follower at term 4
2025-05-24 16:03:30.692493 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545, vote: 0] rejected MsgVote from c89e8ee7e52968ff [logterm: 2, index: 4544] at term 4
2025-05-24 16:03:32.018135 I | raft: 399dd9d2fe9451fe [term: 4] received a MsgVote message with higher term from fe700c0c32dc3b77 [term: 5]
2025-05-24 16:03:32.018178 I | raft: 399dd9d2fe9451fe became follower at term 5
2025-05-24 16:03:32.018201 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545, vote: 0] rejected MsgVote from fe700c0c32dc3b77 [logterm: 2, index: 4542] at term 5
2025-05-24 16:03:32.532565 W | rafthttp: lost the TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-24 16:03:32.532613 E | rafthttp: failed to read dfe51183133d9fcb on stream MsgApp v2 (read tcp 128.110.218.197:51748->128.110.218.198:2380: i/o timeout)
2025-05-24 16:03:32.532626 I | rafthttp: peer dfe51183133d9fcb became inactive
2025-05-24 16:03:32.533086 W | rafthttp: lost the TCP streaming connection with peer dfe51183133d9fcb (stream Message reader)
2025-05-24 16:03:33.393264 W | rafthttp: lost the TCP streaming connection with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:03:33.393306 E | rafthttp: failed to read a1561573eb12db98 on stream Message (read tcp 128.110.218.197:58640->128.110.218.163:2380: i/o timeout)
2025-05-24 16:03:33.393320 I | rafthttp: peer a1561573eb12db98 became inactive
2025-05-24 16:03:33.418069 I | raft: 399dd9d2fe9451fe [term: 5] received a MsgVote message with higher term from fe700c0c32dc3b77 [term: 6]
2025-05-24 16:03:33.418124 I | raft: 399dd9d2fe9451fe became follower at term 6
2025-05-24 16:03:33.418152 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545, vote: 0] rejected MsgVote from fe700c0c32dc3b77 [logterm: 2, index: 4542] at term 6
2025-05-24 16:03:33.490163 W | rafthttp: lost the TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:03:33.591762 I | rafthttp: peer a1561573eb12db98 became active
2025-05-24 16:03:33.591800 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 reader)
2025-05-24 16:03:33.643175 W | rafthttp: closed an existing TCP streaming connection with peer a1561573eb12db98 (stream Message writer)
2025-05-24 16:03:33.643220 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message writer)
2025-05-24 16:03:33.661001 W | rafthttp: closed an existing TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 writer)
2025-05-24 16:03:33.661039 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream MsgApp v2 writer)
2025-05-24 16:03:33.689480 I | rafthttp: peer dfe51183133d9fcb became active
2025-05-24 16:03:33.689518 W | rafthttp: closed an existing TCP streaming connection with peer dfe51183133d9fcb (stream Message writer)
2025-05-24 16:03:33.689532 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream Message writer)
2025-05-24 16:03:33.689756 W | rafthttp: closed an existing TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 writer)
2025-05-24 16:03:33.689797 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 writer)
2025-05-24 16:03:33.693525 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream Message reader)
2025-05-24 16:03:33.693809 I | rafthttp: established a TCP streaming connection with peer dfe51183133d9fcb (stream MsgApp v2 reader)
2025-05-24 16:03:33.892239 I | raft: 399dd9d2fe9451fe [term: 6] ignored a MsgVote message with lower term from dfe51183133d9fcb [term: 5]
2025-05-24 16:03:34.525543 I | rafthttp: established a TCP streaming connection with peer a1561573eb12db98 (stream Message reader)
2025-05-24 16:03:34.591392 I | raft: 399dd9d2fe9451fe is starting a new election at term 6
2025-05-24 16:03:34.591435 I | raft: 399dd9d2fe9451fe became candidate at term 7
2025-05-24 16:03:34.591453 I | raft: 399dd9d2fe9451fe received MsgVoteResp from 399dd9d2fe9451fe at term 7
2025-05-24 16:03:34.591472 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545] sent MsgVote request to a1561573eb12db98 at term 7
2025-05-24 16:03:34.591490 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545] sent MsgVote request to c89e8ee7e52968ff at term 7
2025-05-24 16:03:34.591506 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545] sent MsgVote request to dfe51183133d9fcb at term 7
2025-05-24 16:03:34.591527 I | raft: 399dd9d2fe9451fe [logterm: 2, index: 4545] sent MsgVote request to fe700c0c32dc3b77 at term 7
2025-05-24 16:03:34.592562 I | raft: 399dd9d2fe9451fe received MsgVoteResp from fe700c0c32dc3b77 at term 7
2025-05-24 16:03:34.592607 I | raft: 399dd9d2fe9451fe [quorum:3] has received 2 MsgVoteResp votes and 0 vote rejections
2025-05-24 16:03:34.592635 I | raft: 399dd9d2fe9451fe received MsgVoteResp rejection from dfe51183133d9fcb at term 7
2025-05-24 16:03:34.592649 I | raft: 399dd9d2fe9451fe [quorum:3] has received 2 MsgVoteResp votes and 1 vote rejections
2025-05-24 16:03:34.592664 I | raft: 399dd9d2fe9451fe received MsgVoteResp from c89e8ee7e52968ff at term 7
2025-05-24 16:03:34.592681 I | raft: 399dd9d2fe9451fe [quorum:3] has received 3 MsgVoteResp votes and 1 vote rejections
2025-05-24 16:03:34.592716 I | raft: 399dd9d2fe9451fe became leader at term 7
2025-05-24 16:03:34.592749 I | raft: raft.node: 399dd9d2fe9451fe elected leader 399dd9d2fe9451fe at term 7
2025-05-24 16:03:35.500780 E | etcdserver/api/v2http: got unexpected response error (etcdserver: request timed out)
2025-05-24 16:03:37.183616 E | etcdserver/api/v2http: got unexpected response error (etcdserver: request timed out) [merged 5 repeated lines in 1.68s]
2025-05-24 16:03:44.126407 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2025-05-24 16:03:44.135978 I | etcdserver: saved snapshot at index 10001
2025-05-24 16:03:44.136152 I | etcdserver: compacted raft log at 5001
